cargo,desde,fuente_inicio,tweet_inicio,causa_fin,hasta,sucesora,tweet_fin,fuente_fin,persona_genero,persona_nombre,persona_twitter,entidad_dependencia,entidad_eleccion_mae,entidad_nombre,entidad_tipo,entidad_sigla,entidad_twitter,entidad_webpage,entidad_desde,entidad_fuente_inicio,entidad_hasta,entidad_sucesoras
"Viceministro de Política Minera, Regulación y Fiscalización",2020-11-21,https://eldeber.com.bo/economia/ministro-de-mineria-posesiono-a-tres-de-sus-viceministros_209470,https://twitter.com/BoliviaMaes/status/1330120207558438914,,,,,,Hombre,Winston Medrano Escalante,,Ministerio de Minería y Metalurgia,designación,"Viceministerio de Política Minera, Regulación y Fiscalización",Viceministerio,,,,,,,
Viceministro de Interculturalidad,2020-11-21,https://www.la-razon.com/nacional/2020/11/20/sabina-orellana-fue-posesionada-como-ministra-de-culturas-llama-a-acabar-con-el-racismo/,https://twitter.com/BoliviaMaes/status/1330023229583396864,Renuncia,2021-03-12,['recI4ZjAnivckM1QZ'],https://twitter.com/BoliviaMaes/status/1370676235421028353,https://eldeber.com.bo/tendencias/cergio-prudencio-renuncia-al-viceministerio-de-interculturalidad-por-falta-de-criterios-de-gestion_224087,Hombre,Cergio Prudencio Bilbao,,"Ministerio de Culturas, Descolonización y Despatriarcalización",designación,Viceministerio de Interculturalidad,Viceministerio,,,,2020-11-20,,,
Director General Ejecutivo del INE (Instituto Nacional de Estadísticas),2020-11-21,https://eldeber.com.bo/economia/humberto-arandia-claure-juro-como-director-del-ine_209479,https://twitter.com/BoliviaMaes/status/1330106235450953733,,,,,,Hombre,Humberto Arandia Claure,,Ministerio de Planificación del Desarrollo,designación,Instituto Nacional de Estadísticas,Otro,INE,@INE_Bolivia,,,,,
Viceministro de Cooperativas Mineras,2020-11-21,https://eldeber.com.bo/economia/ministro-de-mineria-posesiono-a-tres-de-sus-viceministros_209470,https://twitter.com/BoliviaMaes/status/1330120688598982658,,,,,,Hombre,Mauricio Guzmán Mujica,,Ministerio de Minería y Metalurgia,designación,Viceministerio de Cooperativas Mineras,Viceministerio,,,,,,,
"Viceministro de Medio Ambiente, Biodiversidad, Cambios Climáticos y de Gestión y Desarrollo Forestal",2020-11-21,https://www.mmaya.gob.bo/2020/11/magin-herrera-asume-como-viceministro-de-medio-ambiente-y-biodiversidad/,https://twitter.com/BoliviaMaes/status/1330028460597776385,,,,,,Hombre,Magin Herrera López,,Ministerio de Medio Ambiente y Agua,designación,"Viceministerio de Medio Ambiente, Biodiversidad, Cambios Climáticos y de Gestión y Desarrollo Forestal",Viceministerio,,,,,,,
Director General de la Hoja de Coca e Industrialización,2020-11-21,https://eldeber.com.bo/economia/posesionan-a-viceministro-de-coca-y-al-director-de-la-hoja-de-coca_209471,https://twitter.com/BoliviaMaes/status/1330109333426855937,,,,,,Hombre,Darío Manrique Choque,,Ministerio de Desarrollo Rural y Tierras,designación,Dirección General de la Hoja de Coca e Industrialización,Otro,,,,,,,
Director General Ejecutivo del Fonabosque (Fondo Nacional de Desarrollo Forestal).,2020-11-21,https://www.mmaya.gob.bo/2020/11/magin-herrera-asume-como-viceministro-de-medio-ambiente-y-biodiversidad/,https://twitter.com/BoliviaMaes/status/1330027410599923714,,,,,,Hombre,Adolfo León Rejas,,Ministerio de Medio Ambiente y Agua,designación,Fondo Nacional de Desarrollo Forestal,Fondo,Fonabosque,@fonabosque,,,,,
"Viceministra de Promoción, Vigilancia Epidemiológica y Medicina Tradicional",2020-11-23,https://twitter.com/MinSaludBolivia/status/1330882719040098305,https://twitter.com/BoliviaMaes/status/1330914210197499904,,,,,,Mujer,María Renée Castro,,Ministerio de Salud y Deportes,designación,"Viceministerio de Promoción, Vigilancia Epidemiológica y Medicina Tradicional",Viceministerio,,,,,,,
Viceministro de Seguros de Salud y Gestión del Sistema Único de Salud,2020-11-23,https://twitter.com/MinSaludBolivia/status/1330882719040098305,https://twitter.com/BoliviaMaes/status/1330915174413443079,,,,,,Hombre,Álvaro Terrazas Pelaez,,Ministerio de Salud y Deportes,designación,Viceministerio de Seguros de Salud y Gestión del Sistema Único de Salud,Viceministerio,,,,,,,
"Viceministro de Industrialización, Comercialización, Transporte y Almacenaje de Hidrocarburos",2020-11-23,https://twitter.com/vicemincom/status/1330888016215351300,https://twitter.com/BoliviaMaes/status/1330915947645898754,,,,,,Hombre,William Donaire,,Ministerio de Hidrocarburos y Energías,designación,"Viceministerio de Industrialización, Comercialización, Transporte y Almacenaje de Hidrocarburos",Viceministerio,,,,,,,
Directora General de Migración,2020-11-23,https://mobile.twitter.com/MIGRACION_BOL/status/1330909496126951425,https://twitter.com/BoliviaMaes/status/1335522973470617606,,,,,,Mujer,Katherine Calderón Valle,,Ministerio de Gobierno,designación,Dirección General de Migración,Otro,Digemig,@MIGRACION_BOL,,,,,
Viceministra de Gestión del Sistema Sanitario,2020-11-23,https://twitter.com/MinSaludBolivia/status/1330882719040098305,https://twitter.com/BoliviaMaes/status/1330914758715969542,,,,,,Mujer,Alejandra Hidalgo Ugarte,,Ministerio de Salud y Deportes,designación,Viceministerio de Gestión del Sistema Sanitario,Viceministerio,,,,,,,
Viceministra de Educación Superior y Formación Profesional,2020-11-24,https://correodelsur.com/politica/20201123_adrian-quelca-juramento-a-tres-viceministros-de-educacion.html,https://twitter.com/BoliviaMaes/status/1331070387543805953,Desconocida,2021-12-01,['rec8Ue4aJI9Cge8eQ'],https://twitter.com/BoliviaMaes/status/1466334677623619588,,Mujer,Áurea Balderrama,@AUREABALDERRAMA,Ministerio de Educación,designación,Viceministerio de Educación Superior y Formación Profesional,Viceministerio,,,,,,,
Directora Ejecutiva del SEA (Servicio Estatal de Autonomías),2020-11-24,https://twitter.com/pagina_siete/status/1331356280489906178,https://twitter.com/BoliviaMaes/status/1331358805590937600,,,,,,Mujer,Helena Argirakis Jordán,,Ministerio de la Presidencia,designación,Servicio Estatal de Autonomías,Otro,SEA,,,,,,
Viceministra de Educación Alternativa y Especial,2020-11-24,https://correodelsur.com/politica/20201123_adrian-quelca-juramento-a-tres-viceministros-de-educacion.html,https://twitter.com/BoliviaMaes/status/1331071560111837188,,,,,,Mujer,Sandra Cruz Nina,,Ministerio de Educación,designación,Viceministerio de Educación Alternativa y Especial,Viceministerio,,,,,,,
Viceministro de Educación Regular,2020-11-24,https://correodelsur.com/politica/20201123_adrian-quelca-juramento-a-tres-viceministros-de-educacion.html,https://twitter.com/BoliviaMaes/status/1331069507033567236,,,,,,Hombre,Bartolomé Puma,,Ministerio de Educación,designación,Viceministerio de Educación Regular,Viceministerio,,,,,,,
Viceministra de Justicia Indígena Originaria Campesina,2020-11-24,https://www.justicia.gob.bo/portal/noticia.php?new=oIOt,,Desconocida,2022-06-11,['recyJWx2qKRllMrkg'],https://twitter.com/BoliviaMaes/status/1536252478437605376,,Mujer,Silvia Alarcón Heredia,,Ministerio de Justicia y Transparencia Institucional,designación,Viceministerio de Justicia Indígena Originaria Campesina,Viceministerio,VJIOC,,,,,,
Viceministro de Autonomías,2020-11-24,https://twitter.com/pagina_siete/status/1331356280489906178,https://twitter.com/BoliviaMaes/status/1331357450516226052,Renuncia,2021-05-15,['recGkXo6T1R6QjPSJ'],,,Hombre,David Pérez,,Ministerio de la Presidencia,designación,Viceministerio de Autonomías,Viceministerio,,@AutonomiasBol,,,,,
Presidenta de la Aduana Nacional,2020-11-24,https://erbol.com.bo/nacional/karina-serrudo-es-la-nueva-presidenta-de-la-aduana-nacional,https://twitter.com/BoliviaMaes/status/1331357450516226052,,,,,,Mujer,Liliana Karina Serrudo Miranda,@SerrudoKarina,Ministerio de Economía y Finanzas Públicas,designación,Aduana Nacional de Bolivia,Otro,ANB,@aduanabolivia,,,,,
Directora Ejecutiva del FPS (Fondo Productivo Social),2020-11-25,https://correodelsur.com/politica/20201124_posesionan-a-los-nuevos-directores-del-fndr-y-fps.html,https://twitter.com/BoliviaMaes/status/1331629723793944576,,,,,,Mujer,Rodney Cristina Pérez Choque,,Ministerio de Planificación del Desarrollo,designación,Fondo Productivo Social,Fondo,FPS,@FPS_Bolivia,,,,,
Director Ejecutivo del FNDR (Fondo Nacional de Desarrollo Regional),2020-11-25,https://correodelsur.com/politica/20201124_posesionan-a-los-nuevos-directores-del-fndr-y-fps.html,https://twitter.com/BoliviaMaes/status/1331629481132429312,,,,,,Hombre,Edson Ross Valda Gómez,,Ministerio de Planificación del Desarrollo,designación,Fondo Nacional de Desarrollo Regional,Fondo,FNDR,@FNDR_Bolivia,,,,,
Gerente General de la Gestora Pública de la Seguridad Social de Largo Plazo,2020-11-25,https://eldeber.com.bo/economia/exejecutivo-de-la-afp-prevision-bbva-es-designado-gerente-general-de-la-gestora-publica_210081,https://twitter.com/BoliviaMaes/status/1331876258519642112,Renuncia,2021-05-18,['recBReQeJsFfkCThX'],https://twitter.com/BoliviaMaes/status/1394917231553916929,https://www.paginasiete.bo/economia/2021/5/18/exviceministro-jaime-duran-ahora-es-gerente-de-la-gestoria-publica-295426.html,Hombre,Pablo Mauricio Salazar Pérez,,Ministerio de Economía y Finanzas Públicas,designación,Gestora Pública de la Seguridad Social de Largo Plazo,Otro,,@GestoraDe,https://www.gestora.bo/,,,,
Viceministro de Altas Tecnologías Energéticas,2020-11-27,https://www.opinion.com.bo/articulo/pais/hidrocarburos-posesiona-viceministros-encargados-consolidar-industrializacion-litio-fortalecer-exploracion/20201127212120797601.html,https://twitter.com/BoliviaMaes/status/1332645202633297920/photo/1,,,,,,Hombre,Álvaro Hernán Arnez Prado,,Ministerio de Hidrocarburos y Energías,designación,Viceministerio de Altas Tecnologías Energéticas,Viceministerio,VATE,,,,,,
Viceministro de Exploración y Explotación de Hidrocarburos,2020-11-27,https://www.opinion.com.bo/articulo/pais/hidrocarburos-posesiona-viceministros-encargados-consolidar-industrializacion-litio-fortalecer-exploracion/20201127212120797601.html,https://twitter.com/BoliviaMaes/status/1332644544677076992/photo/1,Desconocida,2021-11-11,['recUBTsvHEYJo0NKs'],,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/15086-Posesionan-a-Ra%C3%BAl-Mayta-como-viceministro-de-Exploraci%C3%B3n-y-Explotaci%C3%B3n-de-Hidrocarburos?Itemid=101,Hombre,Luis Alberto Poma Calle,,Ministerio de Hidrocarburos y Energías,designación,Viceministerio de Exploración y Explotación de Hidrocarburos,Viceministerio,VEEH,,,,,,
"Directora General del Servicio Plurinacional de la Mujer y la Despatriarcalización ""Ana María Romero""",2020-11-27,https://mobile.twitter.com/canela_cs/status/1332085062242799616,https://twitter.com/BoliviaMaes/status/1332236779076919298,,,,,,Mujer,Wendy Jahel Pérez Salinas,,Ministerio de Justicia y Transparencia Institucional,designación,"Servicio Plurinacional de la Mujer y la Despatriarcalización ""Ana María Romero""",Otro,Sepmud,@Sepmudbo,,,,,
Viceministro de Agua Potable y Saneamiento Básico,2020-11-27,https://correodelsur.com/local/20201127_carmelo-valda-a-la-cabeza-del-viceministerio-de-agua.html,https://twitter.com/BoliviaMaes/status/1332293970752380929,,,,,,Hombre,Carmelo Valda,@CarmeloValda,Ministerio de Medio Ambiente y Agua,designación,Viceministerio de Agua Potable y Saneamiento Básico,Viceministerio,,,,,,,
Gerente General de ENTEL (Empresa Nacional de Telecomunicaciones),2020-11-27,https://correodelsur.com/politica/20201127_roy-mendez-retorna-a-la-gerencia-de-entel.html,https://twitter.com/BoliviaMaes/status/1332616878020288512,,,,,,Hombre,Roque Roy Méndez Soleto,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Nacional de Telecomunicaciones,Empresa,Entel-Bolivia,@entelbo,,,,,
Directora General Ejecutiva de la Lotería Nacional de Beneficencia y Salubridad,2020-11-27,https://noticiasporelmundo.com/bolivia/posesionan-a-nelida-acuna-como-directora-de-la-loteria-nacional-noticias-bolivia,https://twitter.com/BoliviaMaes/status/1332615212789346305,,,,,,Mujer,María Nélida Acuña Segovia,,Ministerio de Salud y Deportes,designación,Lotería Nacional de Beneficencia y Salubridad,Otro,Lonabol,@lonaboloficial,,,,,
Directora de la UIF (Unidad de Investigaciones Financieras),2020-11-27,https://correodelsur.com/politica/20201126_ana-maria-morales-asume-como-nueva-directora-de-la-uif.html,https://twitter.com/BoliviaMaes/status/1332235424824233984,,,,,,Mujer,Ana María Morales,,Ministerio de Economía y Finanzas Públicas,designación,Unidad de Investigaciones Financieras,Otro,UIF,,,,,,
Viceministro de Recursos Hídricos y Riego,2020-11-27,https://twitter.com/AmbienteyAgua/status/1332099545765974016,https://twitter.com/BoliviaMaes/status/1333482090705412099,Destitución,2022-06-08,['recq23rEliIxRiwFm'],https://twitter.com/BoliviaMaes/status/1544959665972383745,https://eldeber.com.bo/pais/arce-cede-y-reconfigura-de-a-poco-su-gabinete-alertan-crisis-en-la-gobernabilidad_283629,Hombre,Jorge Wilder Quiroz,,Ministerio de Medio Ambiente y Agua,designación,Viceministerio de Recursos Hídricos y Riego,Viceministerio,VRHR,,,,,,
Director Ejecutivo de la AETN (Autoridad de Fiscalización de Electricidad y Tecnología Nuclear),2020-11-30,https://twitter.com/BOLIVIA_MH/status/1333474304349130753,https://twitter.com/BoliviaMaes/status/1333476812651962370,,,,,,Hombre,Eusebio Lucio Aruquipa Fernández,,Ministerio de Hidrocarburos y Energías,designación,Autoridad de Fiscalización de Electricidad y Tecnología Nuclear,Autoridad de fiscalización,AETN,,,,,,
Director de la ABI (Agencia Boliviana de Información),2020-11-30,https://twitter.com/vicemincom/status/1333462794990137347,https://twitter.com/BoliviaMaes/status/1333479622848245774,,,,,,Hombre,Enrique Pomar,,Viceministerio de Comunicación,designación,Agencia Boliviana de Información,Otro,ABI,@abi_bolivia,,,,,
Responsable Interino de Radio Illimani - Red Patria Nueva,2020-11-30,https://twitter.com/Canal_BoliviaTV/status/1333515255721435145,https://twitter.com/BoliviaMaes/status/1333518755993964554,,,,,,Hombre,Juan Antonio López,,Viceministerio de Comunicación,designación,Radio Illimani - Red Patria Nueva,Otro,,@RadioIllimani @PatriaNuevaBo,,,,,
Gerente Ejecutiva de la Empresa Pública Editorial del Estado Plurinacional de Bolivia,2020-11-30,https://correodelsur.com/politica/20201130_dominga-machicado-jura-como-gerente-de-la-editorial-del-estado.html,https://twitter.com/BoliviaMaes/status/1333691504632721408,,,,,,Mujer,Dominga Estela Machicado,,Viceministerio de Comunicación,designación,Empresa Pública Editorial del Estado Plurinacional de Bolivia,Empresa,,@EditorialEstado,,,,,
Responsable de la Radio de los Pueblos Originarios (RPO),2020-11-30,https://twitter.com/vicemincom/status/1333455634231144452,https://twitter.com/BoliviaMaes/status/1333478247833722883,,,,,,Hombre,José Aramayo,,Viceministerio de Comunicación,designación,Radio de los Pueblos Originarios,Otro,RPO,,,,,,
Presidente Ejecutivo Interino de ENDE (Empresa Nacional de Electricidad),2020-11-30,https://twitter.com/BOLIVIA_MH/status/1333474215861899266,https://twitter.com/BoliviaMaes/status/1333476047350861831,Desconocida,2022-03-05,['recHBjgjNSbs0UC8Q'],https://twitter.com/BoliviaMaes/status/1500154789270851589,https://www.eldia.com.bo/noticia.php?id=349522&id_cat=1,Hombre,Marco Antonio Escobar Seleme,,Ministerio de Hidrocarburos y Energías,designación,Empresa Nacional de Electricidad,Empresa,ENDE,@ENDECORPORACION,,,,,
Viceministro de Electricidad y Energías Alternativas,2020-11-30,https://twitter.com/BOLIVIA_MH/status/1333474029911609344,https://twitter.com/BoliviaMaes/status/1333475096711847937,Desconocida,2022-05-13,['recMZhmFZWqu7Ljon'],,,Hombre,José María Salvador Romay Bortolini,,Ministerio de Hidrocarburos y Energías,designación,Viceministerio de Electricidad y Energías Alternativas,Viceministerio,VEEA,,,,,,
Responsable del Periódico Bolivia,2020-11-30,https://twitter.com/vicemincom/status/1333457671350050819,https://twitter.com/BoliviaMaes/status/1333478933220757511,,,,,,Hombre,Marco Santivañez,,Viceministerio de Comunicación,designación,Periódico Bolivia,Otro,,@Bolivia_bol,,,,,
Gerente General de la Empresa Estatal de Televisión “Bolivia Tv”,2020-11-30,http://www.boliviatv.bo/principal/noticia.php?noticia=657b52bf6610edfc096abf0cc079da8f&lang=es,https://twitter.com/BoliviaMaes/status/1333517116792770563,Desconocida,2021-06-07,['recV9LMb6hjEPkZAY'],,,Hombre,Diego Montaño,,Viceministerio de Comunicación,designación,Empresa Estatal de Televisión “Bolivia Tv”,Empresa,Bolivia Tv,@Canal_BoliviaTV,,,,,
Viceministro de Comercio Exterior,2020-12-01,https://twitter.com/RadioIllimani/status/1333755342380003328,https://twitter.com/BoliviaMaes/status/1333766159200555011,,,,,,Hombre,Benjamín Blanco,,Ministerio de Relaciones Exteriores,designación,Viceministerio de Comercio Exterior e Integración,Viceministerio,VCEI,@VCEIBolivia,,,,,
Viceministra de Gestión Institucional Consular,2020-12-01,https://twitter.com/RadioIllimani/status/1333755342380003328,https://twitter.com/BoliviaMaes/status/1333765392934850562,,,,,,Mujer,Eva Gloria Chuquimia,,Ministerio de Relaciones Exteriores,designación,Viceministerio de Gestión Institucional Consular,Viceministerio,VGIC,,,,,,
Ministro de Desarrollo Rural y Tierras,2020-12-01,https://www.paginasiete.bo/nacional/2020/12/1/arce-destituye-wilson-caceres-posesiona-nuevo-ministro-de-desarrollo-rural-276686.html,https://twitter.com/BoliviaMaes/status/1333875982474895366,Destitución,2021-04-14,['recgWmrXLV0XQPn7C'],https://twitter.com/BoliviaMaes/status/1382560581656449026,https://www.erbol.com.bo/seguridad/edwin-characayo-dice-que-el-caso-fue-%E2%80%98planificado%E2%80%99-y-su-defensa-asegura-que-no-recibi%C3%B3-ni,Hombre,Edwin Ronald Characayo Villegas,,Presidencia del Estado,designación,Ministerio de Desarrollo Rural y Tierras,Ministerio,MDRyT,@MDRyTOficial,,,,,
Gerente Ejecutivo de la Empresa Estatal de Transporte por Cable Mi Teleférico,2020-12-01,https://twitter.com/Canal_BoliviaTV/status/1333823932638633985,https://twitter.com/BoliviaMaes/status/1333830566614102016,Desconocida,2021-06-05,['recBqDYntowE3uVVf'],,,Hombre,Sergio Daniel Altamirano Álvarez,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Estatal de Transporte por Cable Mi Teleférico,Empresa,Mi Teleférico,@miteleferico,,,,,
Director General Ejecutivo de la ASFI (Autoridad de Supervisión del Sistema Financiero),2020-12-02,https://eldeber.com.bo/pais/posesionan-a-reynaldo-yujra-como-director-ejecutivo-de-la-asfi_210727,https://twitter.com/BoliviaMaes/status/1334252230157938696,,,,,,Hombre,Juan Reynaldo Yujra Segales,,Ministerio de Economía y Finanzas Públicas,designación,Autoridad de Supervisión del Sistema Financiero,Autoridad de fiscalización,ASFI,@asfibolivia,,,,,
Gerente Ejecutivo de BoA (Empresa Pública Nacional Estratégica Boliviana de Aviación),2020-12-02,https://www.opinion.com.bo/articulo/pais/ronald-caso-vuelve-ser-gerente-boa/20201202145131798208.html,https://twitter.com/BoliviaMaes/status/1334217316100399109,,,,,,Hombre,Ronald Salvador Casso Casso,@RonaldCasso,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Pública Nacional Estratégica Boliviana de Aviación,Empresa,BoA,@BoABolivia,,,,,
Director General Ejecutivo de AEVivienda (Agencia Estatal de Vivienda),2020-12-03,https://twitter.com/mopsv_Bolivia/status/1334659108088262656,https://twitter.com/BoliviaMaes/status/1334780247569539072,,,,,,Hombre,Juan José Espejo Condori,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Agencia Estatal de Vivienda,Otro,AEVivienda,@AeviBolivia,,,,,
Director General Ejecutivo de la ABE (Agencia Boliviana Espacial),2020-12-03,https://twitter.com/mopsv_Bolivia/status/1334659108088262656,https://twitter.com/BoliviaMaes/status/1334781183830450178,,,,,,Hombre,Jhonny Iván Zambrana Cruz,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Agencia Boliviana Espacial,Otro,ABE,@ABEBOLIVIA,,,,,
Director General Ejecutivo Autoridad de Fiscalización y Control de Cooperativas,2020-12-03,https://twitter.com/abi_bolivia/status/1334525577378861059,https://twitter.com/BoliviaMaes/status/1334550777306689536,,,,,,Hombre,Fernando Fuentes Daza,,"Ministerio de Trabajo, Empleo y Previsión Social",designación,Autoridad de Fiscalización y Control de Cooperativas,Autoridad de fiscalización,AFCOOP,,,,,,
Director General de la Unidad Ejecutora del FNSE (Fondo Nacional de Solidaridad y Equidad),2020-12-03,https://comunicacion.gob.bo/?q=20201203/31381,https://twitter.com/BoliviaMaes/status/1334548951635255300,,,,,,Hombre,Efraín Rodríguez Chávez,,Ministerio de la Presidencia,designación,Unidad Ejecutora del Fondo Nacional de Solidaridad y Equidad,Otro,FNSE,,,,,,
Viceministro de Vivienda y Urbanismo,2020-12-03,https://twitter.com/mopsv_Bolivia/status/1334657921792270341,https://twitter.com/BoliviaMaes/status/1334775339545923585,Destitución,2022-06-30,,https://twitter.com/BoliviaMaes/status/1544956536140824582,https://www.opinion.com.bo/articulo/pais/cae-viceministro-vivienda-quien-fue-denunciado-favorecer-parientes/20220630203033872109.html,Hombre,Roger Cruz Pinedo,@rogercruzpined1,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Viceministerio de Vivienda y Urbanismo,Viceministerio,VVU,,,,,,
Viceministro de Telecomunicaciones,2020-12-03,https://twitter.com/mopsv_Bolivia/status/1334657921792270341,https://twitter.com/BoliviaMaes/status/1334779178680512514,,,,,,Hombre,Edwin Edgar Arandia,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Viceministerio de Telecomunicaciones,Viceministerio,VMTel,,,,,,
Viceministro de Relaciones Exteriores,2020-12-04,https://www.periodicobolivia.com.bo/posesionan-a-freddy-mamani-como-viceministro-de-relaciones-exteriores/,https://twitter.com/BoliviaMaes/status/1337865247877713920,,,,,,Hombre,Freddy Mamani Machaca,@FreddyMamani_Bo,Ministerio de Relaciones Exteriores,designación,Viceministerio de Relaciones Exteriores,Viceministerio,VRE,,,,,,
Viceministro de Micro y Pequeña Empresa,2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334878534653841409,https://twitter.com/BoliviaMaes/status/1334913925968748545,,,,,,Hombre,Nelson Aruquipa,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Viceministerio de Micro y Pequeña Empresa,Viceministerio,VMPE,,,,,,
Director General Ejecutivo de Senatex (Servicio Nacional Textil),2020-12-04,https://produccion.gob.bo/2020/12/desarrollo-productivo-posesiona-a-directores-de-insumos-bolivia-senatex-y-aemp/,https://twitter.com/BoliviaMaes/status/1335173794709856257,,,,,,Hombre,Gonzalo Uscamayta,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Servicio Nacional Textil,Otro,Senatex,@SenatexBolivia,,,,,
Gerente Ejecutivo de EASBA (Empresa Azucarera San Buenaventura),2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334986799853211656,https://twitter.com/BoliviaMaes/status/1334917762637066240,Desconocida,2021-01-11,['recACwcLeZ4GvtZ56'],,,Hombre,Ernesto Caballero,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa Azucarera San Buenaventura,Empresa,EASBA,@EASBA_Bolivia,,,,,
Viceministro de Producción Industrial a Mediana y Gran Escala,2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334878534653841409,https://twitter.com/BoliviaMaes/status/1334915214555443208,,,,,,Hombre,Luis Siles,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Viceministerio de Producción Industrial a Mediana y Gran Escala,Viceministerio,VPIMGE,,,,,,
Director General Ejecutivo de Insumos Bolivia,2020-12-04,https://produccion.gob.bo/2020/12/desarrollo-productivo-posesiona-a-directores-de-insumos-bolivia-senatex-y-aemp/,https://twitter.com/BoliviaMaes/status/1335171868630904836,,,,,,Hombre,Álvaro Pardo,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Insumos Bolivia,Otro,Inbol,@inbol_bo,,,,,
Director Ejecutivo de la AEMP (Autoridad de Fiscalización de Empresas),2020-12-04,https://produccion.gob.bo/2020/12/desarrollo-productivo-posesiona-a-directores-de-insumos-bolivia-senatex-y-aemp/https://produccion.gob.bo/2020/12/desarrollo-productivo-posesiona-a-directores-de-insumos-bolivia-senatex-y-aemp/,https://twitter.com/BoliviaMaes/status/1335175318622048256,,,,,,Hombre,German Taboada,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Autoridad de Fiscalización de Empresas,Autoridad de fiscalización,AEMP,@AEMP_Bolivia,,,,,
Gerente Ejecutivo de EBA (Empresa Boliviana de Alimentos y Derivados),2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334986799853211656,https://twitter.com/BoliviaMaes/status/1334916756926832649,,,,,,Hombre,Javier Freire Bustos,@JavierFreire22,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa Boliviana de Alimentos y Derivados,Empresa,EBA,@ebabolivia,,,,,
Viceministro de Comercio Interno,2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334878534653841409,https://twitter.com/BoliviaMaes/status/1334912626623733765,,,,,,Hombre,Grover Lacoa,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Viceministerio de Comercio Interno,Viceministerio,VCI,@vcie_bo,,,,,
Viceministra de Turismo,2020-12-04,https://twitter.com/MDPyEPBolivia/status/1334878534653841409,https://twitter.com/BoliviaMaes/status/1334914560617222147,,,,,,Mujer,Eliana Ampuero,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Viceministerio de Turismo,Viceministerio,VT,,,,,,
Gerente General del SEDEM (Servicio de Desarrollo de las Empresas Públicas Productivas),2020-12-07,https://eldeber.com.bo/pais/ministro-huanca-posesionan-a-gerente-de-sedem-e-instruye-acciones-legales-en-ecebol_211421,https://twitter.com/BoliviaMaes/status/1336227917882388480,,,,,,Mujer,Fátima Pacheco Domínguez,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Servicio de Desarrollo de las Empresas Públicas Productivas,Otro,SEDEM,@Sedem_Bolivia,,,,,
Presidente Ejecutivo Interino del Directorio de ENFE (Empresa Nacional de Ferrocarriles),2020-12-07,"https://www.oopp.gob.bo/index.php/noticias/MINISTRO-MONTAO-POSESIONA-A-DIRECTORES-INTERINOS-DE-ENFE-Y-DGAC-SU-PRIMERA-TAREA-SANEAR-IRREGULARIDADES,3291.html",https://twitter.com/BoliviaMaes/status/1336229157383114753,Destitución,2022-02-27,,https://twitter.com/BoliviaMaes/status/1498704885407178757,https://eldeber.com.bo/santa-cruz/destituyen-a-director-de-enfe-lo-acusan-de-uso-indebido-de-bienes-del-estado_269107,Hombre,Beymar Escalier,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Nacional de Ferrocarriles,Empresa,ENFE,@ENFE_BOLIVIA,,,,,
Director Ejecutivo Interino de la DGAC (Dirección General de Aeronáutica Civil) ,2020-12-07,"https://www.oopp.gob.bo/index.php/noticias/MINISTRO-MONTAO-POSESIONA-A-DIRECTORES-INTERINOS-DE-ENFE-Y-DGAC-SU-PRIMERA-TAREA-SANEAR-IRREGULARIDADES,3291.html",https://twitter.com/BoliviaMaes/status/1336230559526301696,,,,,,Hombre,Celier Aparicio Arispe Rosas,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Dirección General de Aeronáutica Civil,Otro,DGAC,@dgacbolivia,,,,,
